imdb_id,title,type,rating,numVotes,genres,isAdult
tt10121392,Thunder Force,movie,4.4,33506,"Action,Adventure,Comedy",0
tt6763664,The Haunting of Hill House,tvMiniSeries,8.6,191096,"Drama,Horror,Mystery",0
tt1742334,Sabotage,movie,5.7,60931,"Action,Crime,Drama",0
tt0877057,Death Note: Desu nôto,tvSeries,9,255281,"Animation,Crime,Drama",0
tt8398600,After Life,tvSeries,8.4,89950,"Comedy,Drama",0
tt0075314,Taxi Driver,movie,8.3,743483,"Crime,Drama",0
tt1302006,The Irishman,movie,7.8,340130,"Biography,Crime,Drama",0
tt0903624,The Hobbit: An Unexpected Journey,movie,7.8,769045,"Adventure,Fantasy",0
tt1070874,The Trial of the Chicago 7,movie,7.8,147967,"Drama,History,Thriller",0
tt1091909,Murdoch Mysteries,tvSeries,8.1,11159,"Crime,Drama,Mystery",0
tt2820852,Fast & Furious 7,movie,7.1,366043,"Action,Adventure,Thriller",0
tt0083399,Cheers,tvSeries,7.9,49175,"Comedy,Drama",0
tt2261227,Altered Carbon,tvSeries,8,147006,"Action,Drama,Sci-Fi",0
tt5727208,Uncut Gems,movie,7.4,234688,"Crime,Drama,Thriller",0
tt8064302,Dead to Me,tvSeries,8,59824,"Comedy,Drama",0
tt5362988,Wind River,movie,7.7,215238,"Crime,Drama,Mystery",0
tt6317068,Final Space,tvSeries,8.3,35308,"Action,Adventure,Animation",0
tt2294189,The Fall,tvSeries,8.1,87760,"Crime,Drama,Thriller",0
tt3799694,The Nice Guys,movie,7.4,291095,"Action,Comedy,Crime",0
tt3909224,Nanatsu no taizai,tvSeries,8,25121,"Action,Adventure,Animation",0
tt6315640,Atypical,tvSeries,8.3,64133,"Comedy,Drama",0
tt1305826,Adventure Time,tvSeries,8.6,79828,"Action,Adventure,Animation",0
tt4630562,The Fate of the Furious,movie,6.6,211000,"Action,Adventure,Crime",0
tt4779326,The Water Man,movie,4.9,565,"Adventure,Drama,Family",0
tt1474684,Luther,tvSeries,8.5,124213,"Crime,Drama,Mystery",0
tt6994156,Close Enough,tvSeries,7.8,5509,"Animation,Comedy,Drama",0
tt0067992,Willy Wonka & the Chocolate Factory,movie,7.8,182325,"Family,Fantasy,Musical",0
tt9820556,Breach,movie,2.9,7561,"Action,Sci-Fi",0
tt2710394,Reign,tvSeries,7.5,44529,"Drama,Fantasy",0
tt7263154,Undercover,tvSeries,7.8,12165,"Crime,Drama,Thriller",0
tt1355642,Hagane no renkinjutsushi,tvSeries,9.1,130674,"Action,Adventure,Animation",0
tt0409591,Naruto,tvSeries,8.3,76613,"Action,Adventure,Animation",0
tt7556122,The Old Guard,movie,6.7,137367,"Action,Adventure,Fantasy",0
tt2375692,Black Sails,tvSeries,8.2,95590,"Adventure,Drama",0
tt2249007,Ray Donovan,tvSeries,8.3,78755,"Crime,Drama",0
tt0244365,Enterprise,tvSeries,7.5,47523,"Action,Adventure,Drama",0
tt0840196,Skins,tvSeries,8.2,76412,Drama,0
tt2283362,Jumanji: Welcome to the Jungle,movie,6.9,331732,"Action,Adventure,Comedy",0
tt14315542,Sexify,tvSeries,6.6,3495,"Comedy,Drama",0
tt7975244,Jumanji: The Next Level,movie,6.6,200346,"Action,Adventure,Comedy",0
tt10893694,The Irregulars,tvSeries,5.9,11889,"Crime,Drama,Fantasy",0
tt9012876,Firefly Lane,tvSeries,7.5,15613,"Drama,Romance",0
tt7909970,Unbelievable,tvMiniSeries,8.4,79017,"Crime,Drama",0
tt0245429,Sen to Chihiro no kamikakushi,movie,8.6,673644,"Adventure,Animation,Family",0
tt2737304,Bird Box,movie,6.6,291356,"Horror,Sci-Fi",0
tt0112697,Clueless,movie,6.8,190275,"Comedy,Romance",0
tt8962124,Emily in Paris,tvSeries,7,52991,"Comedy,Drama,Romance",0
tt1649419,Lo imposible,movie,7.6,206378,"Drama,History,Thriller",0
tt0080455,The Blues Brothers,movie,7.9,186686,"Action,Adventure,Comedy",0
tt8045690,Luis Miguel: La Serie,tvSeries,8.1,3526,"Biography,Drama,History",0
tt0250494,Legally Blonde,movie,6.3,192439,"Comedy,Romance",0
tt3007572,Locke & Key,tvSeries,7.4,45569,"Drama,Fantasy,Horror",0
tt8936646,Extraction,movie,6.7,169609,"Action,Thriller",0
tt4209256,Colony,tvSeries,7.4,32040,"Action,Adventure,Drama",0
tt3520702,Bloodline,tvSeries,7.9,45306,"Drama,Thriller",0
tt2874692,When Calls the Heart,tvSeries,8.1,11072,"Drama,Family,Romance",0
tt0165598,That '70s Show,tvSeries,8,156527,"Comedy,Romance",0
tt13334002,Army of the Dead: Lost Vegas,tvSeries,,,"Action,Animation,Crime",0
tt0942385,Tropic Thunder,movie,7,386961,"Action,Comedy,War",0
tt1830617,Grimm,tvSeries,7.8,110725,"Crime,Drama,Fantasy",0
tt1837642,Revenge,tvSeries,7.8,114035,"Drama,Mystery,Thriller",0
tt1489887,Booksmart,movie,7.2,99841,Comedy,0
tt2771200,Beauty and the Beast,movie,7.1,281287,"Family,Fantasy,Musical",0
tt3498820,Captain America: Civil War,movie,7.8,687729,"Action,Adventure,Sci-Fi",0
tt7984766,The King,movie,7.2,95469,"Biography,Drama,History",0
tt8179402,Fate: The Winx Saga,tvSeries,6.9,28901,"Action,Adventure,Drama",0
tt8714904,Narcos: México,tvSeries,8.4,63619,"Crime,Drama",0
tt0098800,The Fresh Prince of Bel-Air,tvSeries,7.9,123891,Comedy,0
tt7441658,Black Clover,tvSeries,8.3,12037,"Action,Adventure,Animation",0
tt4160708,Don't Breathe,movie,7.1,230826,"Crime,Horror,Thriller",0
tt2431438,Sense8,tvSeries,8.3,142628,"Drama,Mystery,Sci-Fi",0
tt14025788,Il Divin Codino,movie,6.2,2589,"Biography,Drama,Sport",0
tt0266697,Kill Bill: Vol. 1,movie,8.1,1021522,"Action,Crime,Drama",0
tt5651844,Travelers,tvSeries,8.1,48122,"Drama,Mystery,Sci-Fi",0
tt1598778,Contagion,movie,6.7,288468,"Drama,Thriller",0
tt2699110,The Affair,tvSeries,7.9,41576,Drama,0
tt2191671,Elementary,tvSeries,7.9,102778,"Crime,Drama,Mystery",0
tt9055008,Evil,tvSeries,7.7,12939,"Crime,Drama,Horror",0
tt8106534,6 Underground,movie,6.1,146930,"Action,Thriller",0
tt5232792,Lost in Space,tvSeries,7.3,75344,"Adventure,Drama,Family",0
tt1091191,Lone Survivor,movie,7.5,271005,"Action,Biography,Drama",0
tt6524350,Big Mouth,tvSeries,7.9,60088,"Animation,Comedy,Romance",0
tt0167261,The Lord of the Rings: The Two Towers,movie,8.7,1516370,"Action,Adventure,Drama",0
tt5421602,Anne,tvSeries,8.7,41766,"Drama,Family",0
tt0115082,3rd Rock from the Sun,tvSeries,7.7,48132,"Comedy,Family,Sci-Fi",0
tt3731562,Kong: Skull Island,movie,6.6,290111,"Action,Adventure,Fantasy",0
tt4975722,Moonlight,movie,7.4,282381,Drama,0
tt0193676,Freaks and Geeks,tvSeries,8.8,132244,"Comedy,Drama",0
tt1663202,The Revenant,movie,8,724435,"Action,Adventure,Drama",0
tt1442462,The Good Wife,tvSeries,8.3,69257,"Crime,Drama,Mystery",0
tt3636060,Poldark,tvSeries,8.3,27090,"Drama,History,Romance",0
tt0487831,The IT Crowd,tvSeries,8.5,137412,Comedy,0
tt1657507,Colombiana,movie,6.4,95981,"Action,Drama,Thriller",0
